2015-11-26 10:14:20.040 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:379] Scanned package: 'me.quxiu.orderReturn.dto' for aliases
2015-11-26 10:14:20.058 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:427] Parsed configuration file: 'class path resource [mybatis/mybatis-config.xml]'
2015-11-26 10:14:20.207 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/InfConfigurationMapper.xml]'
2015-11-26 10:14:20.225 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/InfEbsOrderRefundMapper.xml]'
2015-11-26 10:14:20.241 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/InfExceptionLogMapper.xml]'
2015-11-26 10:14:20.266 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnDetailMapper.xml]'
2015-11-26 10:14:20.284 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnExpressCouponMapper.xml]'
2015-11-26 10:14:20.335 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnHeaderMapper.xml]'
2015-11-26 10:14:20.357 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnProcessLogMapper.xml]'
2015-11-26 10:14:20.373 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnProcessRemarkMapper.xml]'
2015-11-26 10:14:20.395 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/OrderReturnTypeMapper.xml]'
2015-11-26 10:14:20.414 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:468] Parsed mapper file: 'class path resource [mybatis/mapper/VeExpressMapper.xml]'
2015-11-26 10:16:10.718 DEBUG  o.m.s.SqlSessionUtils [SqlSessionUtils.java:106] Creating a new SqlSession
2015-11-26 10:16:10.726 DEBUG  o.m.s.SqlSessionUtils [SqlSessionUtils.java:122] Registering transaction synchronization for SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@4f69aa48]
2015-11-26 10:16:10.746 DEBUG  o.m.s.t.SpringManagedTransaction [SpringManagedTransaction.java:85] JDBC Connection [jdbc:mysql://192.168.60.92:3306/zvecn?zeroDateTimeBehavior=convertToNull, UserName=zvecn@192.168.10.224, MySQL-AB JDBC Driver] will be managed by Spring
